experiment,config,schedule,beta,nonlinearity,steps,inspects,mean,std,min,max,range,log_range,n,gamma_collapse,r2_gamma
E4,e4_constant_beta_0p0_steps_6,constant,0.0,quadratic,6,1,2316.5645,135.5626,2060.8,2444.8,384.0,5.950643,100000,3.330216,0.998566
E4,e4_constant_beta_0p0_steps_12,constant,0.0,quadratic,12,1,13582.13,1040.29,11451.44,14645.84,3194.4,8.069155,100000,3.330216,0.998566
E4,e4_constant_beta_0p0_steps_20,constant,0.0,quadratic,20,1,68725.4625,5387.24,57330.0,74430.0,17100.0,9.746834,100000,3.330216,0.998566
E4,e4_constant_beta_0p0_steps_50,constant,0.0,quadratic,50,1,2370145.1796,134800.1159,2076300.0,2517300.0,441000.0,12.9968,100000,3.330216,0.998566
E4,e4_linear_decay_beta_0p0_steps_6,linear_decay,0.0,quadratic,6,1,2316.7867,135.7314,2060.8,2444.8,384.0,5.950643,100000,3.330216,0.998566
E4,e4_linear_decay_beta_0p0_steps_12,linear_decay,0.0,quadratic,12,1,13581.3551,1040.5476,11451.44,14645.84,3194.4,8.069155,100000,3.330216,0.998566
E4,e4_linear_decay_beta_0p0_steps_20,linear_decay,0.0,quadratic,20,1,68736.8916,5379.7539,57330.0,74430.0,17100.0,9.746834,100000,3.330216,0.998566
E4,e4_linear_decay_beta_0p0_steps_50,linear_decay,0.0,quadratic,50,1,2369941.56,134669.7934,2076300.0,2517300.0,441000.0,12.9968,100000,3.330216,0.998566
E4,e4_linear_decay_beta_0p05_steps_6,linear_decay,0.05,quadratic,6,1,2242.3345,132.2175,1992.606,2367.156,374.55,5.925725,100000,2.945859,0.999997
E4,e4_linear_decay_beta_0p05_steps_12,linear_decay,0.05,quadratic,12,1,11737.1215,941.6627,9812.7354,12698.2554,2885.52,7.96746,100000,2.945859,0.999997
E4,e4_linear_decay_beta_0p05_steps_20,linear_decay,0.05,quadratic,20,1,46032.246,4132.5858,37299.675,50409.675,13110.0,9.481131,100000,2.945859,0.999997
E4,e4_linear_decay_beta_0p05_steps_50,linear_decay,0.05,quadratic,50,1,578729.4219,58853.2896,450264.9375,643202.4375,192937.5,12.170122,100000,2.945859,0.999997
E4,e4_linear_decay_beta_0p1_steps_6,linear_decay,0.1,quadratic,6,1,2168.3068,129.1202,1925.294,2290.394,365.1,5.900171,100000,2.876384,0.99994
E4,e4_linear_decay_beta_0p1_steps_12,linear_decay,0.1,quadratic,12,1,10101.7022,846.473,8368.56,10968.96,2600.4,7.863421,100000,2.876384,0.99994
E4,e4_linear_decay_beta_0p1_steps_20,linear_decay,0.1,quadratic,20,1,35326.5645,3534.8784,27859.8,39069.8,11210.0,9.324562,100000,2.876384,0.99994
E4,e4_linear_decay_beta_0p1_steps_50,linear_decay,0.1,quadratic,50,1,409688.6048,49357.9028,301165.875,463478.375,162312.5,11.997279,100000,2.876384,0.99994
E4,e4_linear_decay_beta_0p2_steps_6,linear_decay,0.2,quadratic,6,1,2034.4869,123.0649,1802.64,2150.64,348.0,5.852202,100000,2.853198,0.999887
E4,e4_linear_decay_beta_0p2_steps_12,linear_decay,0.2,quadratic,12,1,8838.7463,783.8935,7239.96,9642.36,2402.4,7.784224,100000,2.853198,0.999887
E4,e4_linear_decay_beta_0p2_steps_20,linear_decay,0.2,quadratic,20,1,29937.5849,3231.9299,23095.8,33355.8,10260.0,9.236008,100000,2.853198,0.999887
E4,e4_linear_decay_beta_0p2_steps_50,linear_decay,0.2,quadratic,50,1,334558.2096,44775.5786,236364.0,383364.0,147000.0,11.898188,100000,2.853198,0.999887
